Dual_Attn_1_-1_6
(2.9274637699127197, 1.0578151941299438)
Prepare Data : 8.548205 s
Epoch 52 : Train MSE : 0.970612, Train MAE : 0.690102 , Test MSE : 1.452979 , Test MAE : 0.789525 , Lr : 0.000250 , Time: 90.728646 s .
Epoch 53 : Train MSE : 1.018452, Train MAE : 0.710508 , Test MSE : 1.489428 , Test MAE : 0.802674 , Lr : 0.000250 , Time: 91.698702 s .
Epoch 54 : Train MSE : 0.976393, Train MAE : 0.698911 , Test MSE : 1.455737 , Test MAE : 0.796822 , Lr : 0.000250 , Time: 88.106485 s .
Epoch 55 : Train MSE : 0.983559, Train MAE : 0.699612 , Test MSE : 1.468447 , Test MAE : 0.796466 , Lr : 0.000250 , Time: 85.724088 s .
Epoch 56 : Train MSE : 0.989549, Train MAE : 0.706201 , Test MSE : 1.469679 , Test MAE : 0.796457 , Lr : 0.000250 , Time: 88.042562 s .
Epoch 57 : Train MSE : 0.951977, Train MAE : 0.683317 , Test MSE : 1.451648 , Test MAE : 0.784328 , Lr : 0.000250 , Time: 92.556684 s .
Epoch 58 : Train MSE : 0.983293, Train MAE : 0.703116 , Test MSE : 1.475583 , Test MAE : 0.797983 , Lr : 0.000250 , Time: 85.631744 s .
Epoch 59 : Train MSE : 0.952735, Train MAE : 0.686990 , Test MSE : 1.457670 , Test MAE : 0.788022 , Lr : 0.000250 , Time: 91.652658 s .
Epoch 60 : Train MSE : 0.953406, Train MAE : 0.686266 , Test MSE : 1.463047 , Test MAE : 0.788536 , Lr : 0.000250 , Time: 91.942136 s .
Epoch 61 : Train MSE : 0.944047, Train MAE : 0.683893 , Test MSE : 1.459223 , Test MAE : 0.786805 , Lr : 0.000250 , Time: 95.400989 s .
Epoch 62 : Train MSE : 0.982487, Train MAE : 0.705511 , Test MSE : 1.470787 , Test MAE : 0.795287 , Lr : 0.000250 , Time: 92.782952 s .
Epoch 63 : Train MSE : 0.955083, Train MAE : 0.690937 , Test MSE : 1.462849 , Test MAE : 0.790456 , Lr : 0.000250 , Time: 89.711211 s .
Epoch 64 : Train MSE : 0.944489, Train MAE : 0.686095 , Test MSE : 1.470985 , Test MAE : 0.791374 , Lr : 0.000250 , Time: 85.862954 s .
Epoch 65 : Train MSE : 0.957226, Train MAE : 0.693651 , Test MSE : 1.456315 , Test MAE : 0.792949 , Lr : 0.000250 , Time: 86.726035 s .
Epoch 66 : Train MSE : 0.952192, Train MAE : 0.684983 , Test MSE : 1.472690 , Test MAE : 0.789023 , Lr : 0.000250 , Time: 91.854526 s .
Epoch 67 : Train MSE : 0.938799, Train MAE : 0.687961 , Test MSE : 1.481456 , Test MAE : 0.795161 , Lr : 0.000250 , Time: 88.984842 s .
Epoch 68 : Train MSE : 0.952770, Train MAE : 0.687620 , Test MSE : 1.473991 , Test MAE : 0.790255 , Lr : 0.000250 , Time: 87.379719 s .
Epoch 69 : Train MSE : 0.945031, Train MAE : 0.684308 , Test MSE : 1.469196 , Test MAE : 0.785754 , Lr : 0.000250 , Time: 89.335604 s .
Epoch 70 : Train MSE : 0.941213, Train MAE : 0.685863 , Test MSE : 1.473758 , Test MAE : 0.791769 , Lr : 0.000250 , Time: 98.305456 s .
Epoch 71 : Train MSE : 0.941464, Train MAE : 0.688511 , Test MSE : 1.482902 , Test MAE : 0.793150 , Lr : 0.000250 , Time: 90.554016 s .
Epoch 72 : Train MSE : 0.931232, Train MAE : 0.684348 , Test MSE : 1.450167 , Test MAE : 0.784801 , Lr : 0.000250 , Time: 92.731765 s .
Epoch 73 : Train MSE : 0.922199, Train MAE : 0.679363 , Test MSE : 1.465015 , Test MAE : 0.791543 , Lr : 0.000250 , Time: 89.159040 s .
Epoch 74 : Train MSE : 0.909249, Train MAE : 0.671407 , Test MSE : 1.453516 , Test MAE : 0.779506 , Lr : 0.000250 , Time: 90.149821 s .
Epoch 75 : Train MSE : 0.904199, Train MAE : 0.669740 , Test MSE : 1.455382 , Test MAE : 0.778406 , Lr : 0.000250 , Time: 93.401913 s .
